rowid,ID,Latitude,Longitude
1,GID_1,58.49994,27.28475
2,GID_2,58.46504,27.2839
3,GID_3,58.44592,27.28435
4,GID_4,58.42464,27.28336
5,GID_5,58.39979,27.28791
6,GID_6,58.3159,27.45033
7,GID_7,58.36016,27.45524
8,GID_8,58.39495,27.44013
9,GID_9,58.41775,27.45066
10,GID_10,58.44412,27.28849
11,GID_11,58.47593,27.35226
12,GID_12,58.52217,27.40825
13,GID_13,58.45684,27.44887
14,GID_14,58.41248,27.47408
15,GID_15,58.42062,27.36225
16,GID_16,58.44098,27.25025
17,GID_17,58.44541,27.28923
18,GID_18,58.39981,27.27804
19,GID_19,58.37779,27.23903
20,GID_20,58.43617,27.23755
21,GID_21,58.43445,27.15546
22,GID_22,58.4438166666667,27.2887
23,GID_23,58.4999666666667,27.2844333333333
24,GID_24,58.5420833333333,27.27455
25,GID_25,58.5969666666667,27.3490666666667
26,GID_26,58.7341666666667,27.35255
27,GID_27,58.68905,27.2103833333333
28,GID_28,58.2003666666667,26.0131
29,GID_29,58.3171833333333,26.0438
30,GID_30,58.2647833333333,26.0513166666667
31,GID_31,58.2076666666667,26.1018333333333
32,GID_32,58.53749,26.65644
33,GID_33,58.54547,26.6344
34,GID_34,58.53307,26.67547
35,GID_35,58.59184,26.65193
36,GID_36,58.5949,26.69183
37,GID_37,58.57109,26.71132
38,GID_38,58.55788,26.68229
39,GID_39,58.59241,26.6508
40,GID_40,58.7345,13.3826
41,GID_41,58.79015,13.37668
42,GID_42,58.73823,13.44815
43,GID_43,58.68359,13.31834
44,GID_44,58.75777,13.14579
45,GID_45,58.69007,13.22261
46,GID_46,58.61748,13.19748
47,GID_47,58.56424,13.21072
48,GID_48,58.51827,13.17257
49,GID_54,58.26889,26.0435
50,GID_55,58.21132,26.10181
51,GID_56,58.12298,27.57492
52,GID_57,58.23339,27.48688
53,GID_58,58.45315,27.43415
54,GID_59,58.44564,27.29054
55,GID_60,58.5901,27.43498
56,GID_61,58.78178,27.33285
57,GID_62,58.92071,27.23139
58,GID_63,58.82536,27.10695
59,GID_64,58.16834,26.06782
60,GID_65,58.21736,26.04928
61,GID_66,58.2285,26.04502
62,GID_67,58.33775,26.04578
63,GID_68,58.21523,26.10102
64,GID_69,58.042494,26.467808
65,GID_70,57.844405,26.984806
66,GID_71,57.727731,26.922556
