AREA,PERIMETER,PR_,PR_ID,RINGS_OK,RINGS_NOK,PATH,ROW,MODE,SEQUENCE,WRSPR,PR,ACQDayL7,ACQDayL8
3.35638,7.46945,32,32,1,0,13,32,D,2264,013032,013032,1,9
3.28943,7.37898,33,33,1,0,13,33,D,2265,013033,013033,1,9
3.16907,7.21698,35,35,1,0,13,35,D,2267,013035,013035,1,9
3.11486,7.14428,36,36,1,0,13,36,D,2268,013036,013036,1,9
3.06447,7.07683,37,37,1,0,13,37,D,2269,013037,013037,1,9
2.85981,6.80436,42,42,1,0,13,42,D,2274,013042,013042,1,9
2.82726,6.76119,43,43,1,0,13,43,D,2275,013043,013043,1,9
3.42827,7.56683,279,279,1,0,29,31,D,2511,029031,029031,1,9
3.58803,7.78452,1083,1083,1,0,77,91,D,3315,077091,077091,1,9
3.67742,7.90698,1084,1084,1,0,77,92,D,3316,077092,077092,1,9
4.8939,9.63613,2747,2747,1,0,198,19,D,1507,198019,198019,1,9
4.70893,9.36488,2748,2748,1,0,198,20,D,1508,198020,198020,1,9
4.3847,8.89706,2750,2750,1,0,198,22,D,1510,198022,198022,1,9
4.24221,8.69432,2751,2751,1,0,198,23,D,1511,198023,198023,1,9
4.11083,8.50903,2752,2752,1,0,198,24,D,1512,198024,198024,1,9
3.42826,7.56682,2759,2759,1,0,198,31,D,1519,198031,198031,1,9
3.28944,7.379,2761,2761,1,0,198,33,D,1521,198033,198033,1,9
3.22728,7.29517,2762,2762,1,0,198,34,D,1522,198034,198034,1,9
3.42821,7.56676,279,279,1,0,20,31,D,5983,020031,020031,2,10
2.97367,6.95566,287,287,1,0,20,39,D,5991,020039,020039,2,10
2.93285,6.90135,288,288,1,0,20,40,D,5992,020040,020040,2,10
3.22755,7.29556,1574,1574,1,0,93,86,D,3558,093086,093086,2,9
3.16988,7.218,1771,1771,1,0,109,35,D,3755,109035,109035,2,10
3.11447,7.1438,1772,1772,1,0,109,36,D,3756,109036,109036,2,10
2.61953,6.48714,2037,2037,1,0,125,53,D,4021,125053,125053,2,10
2.60946,6.47395,2038,2038,1,0,125,54,D,4022,125054,125054,2,10
6.47281,12.09622,2989,2989,1,0,189,13,D,4973,189013,189013,2,10
6.13698,11.55121,2990,2990,1,0,189,14,D,4974,189014,189014,2,10
4.53992,9.1198,2997,2997,1,0,189,21,D,4981,189021,189021,2,10
4.53983,9.11967,3245,3245,1,0,205,21,D,5229,205021,205021,2,10
4.3847,8.89706,3246,3246,1,0,205,22,D,5230,205022,205022,2,10
3.8778,8.18349,3250,3250,1,0,205,26,D,5234,205026,205026,2,10
3.5884,7.78501,3253,3253,1,0,205,29,D,5237,205029,205029,2,10
3.50554,7.67189,3254,3254,1,0,205,30,D,5238,205030,205030,2,10
2.76919,6.68435,3547,3547,1,0,221,75,D,5531,221075,221075,2,10
3.58842,7.78504,277,277,1,0,27,29,D,9701,027029,027029,3,11
3.35638,7.46945,280,280,1,0,27,32,D,9704,027032,027032,3,11
3.16907,7.21698,283,283,1,0,27,35,D,9707,027035,027035,3,11
2.89497,6.851,289,289,1,0,27,41,D,9713,027041,027041,3,11
3.22665,7.2943,530,530,1,0,43,34,D,9954,043034,043034,3,11
3.16928,7.21728,531,531,1,0,43,35,D,9955,043035,043035,3,11
3.16936,7.21738,1077,1077,1,0,75,85,D,10501,075085,075085,3,11
3.42775,7.56618,1081,1081,1,0,75,89,D,10505,075089,075089,3,11
3.50568,7.67199,1082,1082,1,0,75,90,D,10506,075090,075090,3,11
3.58803,7.78452,1083,1083,1,0,75,91,D,10507,075091,075091,3,11
3.11508,7.14451,1524,1524,1,0,116,36,D,7476,116036,116036,3,11
2.5814,6.43709,1549,1549,1,0,116,61,D,7501,116061,116061,3,11
4.89385,9.63604,2747,2747,1,0,196,19,D,8699,196019,196019,3,11
4.3847,8.89705,2750,2750,1,0,196,22,D,8702,196022,196022,3,11
3.77399,8.03991,2755,2755,1,0,196,27,D,8707,196027,196027,3,11
3.67785,7.90752,2756,2756,1,0,196,28,D,8708,196028,196028,3,11
2.59336,6.45274,3280,3280,1,0,228,56,D,9232,228056,228056,3,11
2.58137,6.437,3285,3285,1,0,228,61,D,9237,228061,228061,3,11
2.58388,6.44029,3286,3286,1,0,228,62,D,9238,228062,228062,3,11
3.50551,7.67184,278,278,1,0,18,30,D,13174,018030,018030,4,12
3.42827,7.56683,279,279,1,0,18,31,D,13175,018031,018031,4,12
2.97367,6.95566,287,287,1,0,18,39,D,13183,018039,018039,4,12
2.93279,6.90128,288,288,1,0,18,40,D,13184,018040,018040,4,12
2.6792,6.56561,297,297,1,0,18,49,D,13193,018049,018049,4,12
3.11508,7.14451,1572,1572,1,0,91,84,D,10748,091084,091084,4,11
3.16936,7.21738,1573,1573,1,0,91,85,D,10749,091085,091085,4,11
3.22665,7.2943,1770,1770,1,0,107,34,D,10946,107034,107034,4,12
3.16928,7.21728,1771,1771,1,0,107,35,D,10947,107035,107035,4,12
2.9741,6.95617,2023,2023,1,0,123,39,D,11199,123039,123039,4,12
2.63207,6.50359,2036,2036,1,0,123,52,D,11212,123052,123052,4,12
2.85977,6.80427,2806,2806,1,0,171,78,D,11982,171078,171078,4,12
4.89384,9.63603,2995,2995,1,0,187,19,D,12171,187019,187019,4,12
4.70902,9.36501,2996,2996,1,0,187,20,D,12172,187020,187020,4,12
3.98967,8.3393,3249,3249,1,0,203,25,D,12425,203025,203025,4,12
3.87781,8.18351,3250,3250,1,0,203,26,D,12426,203026,203026,4,12
3.77398,8.03989,3251,3251,1,0,203,27,D,12427,203027,203027,4,12
3.50548,7.67181,3254,3254,1,0,203,30,D,12430,203030,203030,4,12
3.42826,7.56682,3255,3255,1,0,203,31,D,12431,203031,203031,4,12
3.35637,7.46943,3256,3256,1,0,203,32,D,12432,203032,203032,4,12
3.28943,7.37899,3257,3257,1,0,203,33,D,12433,203033,203033,4,12
2.72015,6.61959,3545,3545,1,0,219,73,D,12721,219073,219073,4,12
2.79712,6.72125,3548,3548,1,0,219,76,D,12724,219076,219076,4,12
2.82719,6.76111,3549,3549,1,0,219,77,D,12725,219077,219077,4,12
2.60943,6.47384,66,66,1,0,9,66,D,16682,009066,009066,5,13
3.67783,7.9075,276,276,1,0,25,28,D,16892,025028,025028,5,13
3.58842,7.78504,277,277,1,0,25,29,D,16893,025029,025029,5,13
3.22816,7.29628,1078,1078,1,0,73,86,D,17694,073086,073086,5,13
3.28907,7.37844,1079,1079,1,0,73,87,D,17695,073087,073087,5,13
3.35611,7.46909,1080,1080,1,0,73,88,D,17696,073088,073088,5,13
3.42775,7.56618,1081,1081,1,0,73,89,D,17697,073089,073089,5,13
3.50568,7.67199,1082,1082,1,0,73,90,D,17698,073090,073090,5,13
3.58803,7.78452,1083,1083,1,0,73,91,D,17699,073091,073091,5,13
3.16838,7.21602,1771,1771,1,0,114,35,D,14667,114035,114035,5,13
3.11508,7.14451,1772,1772,1,0,114,36,D,14668,114036,114036,5,13
4.89393,9.63618,2995,2995,1,0,194,19,D,15891,194019,194019,5,13
4.38466,8.897,2998,2998,1,0,194,22,D,15894,194022,194022,5,13
4.11085,8.50907,3000,3000,1,0,194,24,D,15896,194024,194024,5,13
